index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
996,ts20310,Girlfriends' Guide to Divorce,SHOW,2014,TV-14,42,"['comedy', 'drama']",GB,5,tt2817246,6.9,4523
997,tm159796,Brick Mansions,MOVIE,2014,PG-13,90,"['crime', 'drama', 'action', 'thriller']",GB,,tt1430612,5.6,42137
998,tm181533,The Big Wedding,MOVIE,2013,R,90,"['comedy', 'drama', 'romance']",US,,tt1931435,5.6,49549
999,ts35244,Tiny House Nation,SHOW,2014,TV-PG,43,['reality'],GB,5,tt3869500,7.1,1126
1000,tm469911,Bonnie & Clyde,MOVIE,2013,PG-13,240,"['drama', 'crime', 'european']",US,,tt2374851,,
1001,ts82979,Talking Tom and Friends,SHOW,2014,TV-G,11,"['comedy', 'drama', 'family', 'action', 'animation', 'fantasy', 'european']",US,5,tt4648640,6.1,411
1002,tm148976,The Battered Bastards of Baseball,MOVIE,2014,R,80,"['documentation', 'sport']",US,,tt3445270,8,3953
1003,tm143642,Who Am I,MOVIE,2014,,105,"['thriller', 'european', 'drama', 'scifi', 'crime']",US,,tt4426376,7.5,55044
1004,ts10206,Ever After High,SHOW,2013,TV-Y7,30,"['action', 'comedy', 'drama', 'family', 'fantasy', 'music', 'romance', 'animation']",US,5,tt3312378,7.7,1130
1005,ts20709,Yowamushi Pedal,SHOW,2013,TV-14,24,"['comedy', 'drama', 'sport', 'animation']",US,4,tt2942228,7.7,808
1006,ts32060,Sam & Cat,SHOW,2013,TV-G,24,"['drama', 'family', 'comedy']",US,1,tt2487090,5.6,9507
1007,tm162271,Bo Burnham: What.,MOVIE,2013,,60,"['comedy', 'music', 'documentation']",GB,,tt3210258,8.3,11488
1008,tm166628,The Smurfs 2,MOVIE,2013,PG,105,"['fantasy', 'animation', 'comedy', 'family']",GB,,tt2017020,5.3,41571
1009,tm171228,Metallica: Through the Never,MOVIE,2013,R,93,['music'],US,,tt2172935,7.1,17433
1010,tm136601,Walk of Shame,MOVIE,2014,R,95,['comedy'],GB,,tt2463288,6,54065
1011,tm143757,Search Party,MOVIE,2014,R,93,['comedy'],US,,tt2758904,5.6,7789
1012,tm143372,Stand by Me Doraemon,MOVIE,2014,G,90,"['fantasy', 'animation', 'comedy', 'drama', 'family', 'scifi']",US,,tt3331846,7.3,7812
1013,tm71148,Thanks for Sharing,MOVIE,2013,R,112,"['drama', 'comedy', 'romance']",US,,tt1932718,6.4,28204
1014,tm161562,Copenhagen,MOVIE,2014,,98,"['drama', 'romance']",US,,tt2459156,7.1,13135
1015,tm151716,Cowspiracy: The Sustainability Secret,MOVIE,2014,,90,['documentation'],US,,tt4344904,8.2,24845
1016,ts22445,The Heirs,SHOW,2013,,59,"['drama', 'comedy', 'romance']",US,1,tt3243098,7.5,10329
1017,tm180599,The Haunting in Connecticut 2: Ghosts of Georgia,MOVIE,2013,R,101,"['horror', 'thriller', 'drama']",US,,tt1457765,5.2,17170
1018,ts20790,Young & Hungry,SHOW,2014,TV-14,21,"['comedy', 'drama', 'romance']",GB,5,tt2084712,7.3,15627
1019,tm171965,Mike Birbiglia: My Girlfriend's Boyfriend,MOVIE,2013,,75,"['drama', 'documentation', 'comedy', 'romance']",GB,,tt2937390,8,3284
1020,tm185208,Elena,MOVIE,2013,PG-13,82,"['documentation', 'european', 'drama', 'family']",US,,tt2719278,7.6,1823
